E	1	told	p0	audience=['p3'];from=p0;subject=cafe_7;relation=affords;obj=fun;conf=0.8;fact_id=cafe_7|affords|1
E	1	told	p3	audience=['p9'];from=p3;subject=cafe_7;relation=affords;obj=fun;conf=0.64;fact_id=cafe_7|affords|1
D	2100	p3	idle		
D	2100	p4	idle		
D	2100	p5	idle		
D	2100	p6	idle		
D	2100	p7	idle		
D	2100	p8	idle		
D	2100	p9	idle		
D	2139	p0	idle		
D	2139	p1	idle		
D	2139	p2	idle		
D	2139	p3	idle		
D	2139	p4	idle		
D	2139	p5	idle		
D	2139	p6	idle		
D	2139	p7	idle		
D	2139	p8	idle		
D	2139	p9	idle		
D	2177	p0	idle		
D	2177	p1	idle		
D	2177	p2	idle		
D	2177	p3	idle		
D	2177	p4	idle		
D	2177	p5	idle		
D	2177	p6	idle		
D	2177	p7	idle		
D	2177	p8	idle		
D	2177	p9	idle		
D	2214	p0	idle		
D	2214	p1	idle		
D	2214	p2	idle		
D	2214	p3	idle		
D	2214	p4	idle		
D	2214	p5	idle		
D	2214	p6	idle		
D	2214	p7	idle		
D	2214	p8	idle		
D	2214	p9	idle		
D	2250	p0	idle		
D	2250	p1	idle		
D	2250	p2	idle		
D	2250	p3	idle		
D	2250	p4	idle		
D	2250	p5	idle		
D	2250	p6	idle		
D	2250	p7	idle		
D	2250	p8	idle		
D	2250	p9	idle		
D	2286	p0	idle		
D	2286	p1	idle		
D	2286	p2	idle		
D	2286	p3	idle		
D	2286	p4	idle		
D	2286	p5	idle		
D	2286	p6	idle		
D	2286	p7	idle		
D	2286	p8	idle		
D	2286	p9	idle		
D	2322	p0	idle		
D	2322	p1	idle		
D	2322	p2	idle		
D	2322	p3	idle		
D	2322	p4	idle		
D	2322	p5	idle		
D	2322	p6	idle		
D	2322	p7	idle		
D	2322	p8	idle		
D	2322	p9	idle		
D	2358	p0	idle		
D	2358	p1	idle		
D	2358	p2	idle		
D	2358	p3	idle		
D	2358	p4	idle		
D	2358	p5	idle		
D	2358	p6	idle		
D	2358	p7	idle		
D	2358	p8	idle		
D	2358	p9	idle		
D	2394	p0	idle		
D	2394	p1	idle		
D	2394	p2	idle		
D	2394	p3	idle		
D	2394	p4	idle		
D	2394	p5	idle		
D	2394	p6	idle		
D	2394	p7	idle		
D	2394	p8	idle		
D	2394	p9	idle		
D	2431	p0	idle		
D	2431	p1	idle		
D	2431	p2	idle		
D	2431	p3	idle		
D	2431	p4	idle		
D	2431	p5	idle		
D	2431	p6	idle		
D	2431	p7	idle		
D	2431	p8	idle		
D	2431	p9	idle		
D	2469	p0	idle		
D	2469	p1	idle		
D	2469	p2	idle		
D	2469	p3	idle		
D	2469	p4	idle		
D	2469	p5	idle		
D	2469	p6	idle		
D	2469	p7	idle		
D	2469	p8	idle		
D	2469	p9	idle		
D	2508	p0	idle		
D	2508	p1	idle		
D	2508	p2	idle		
D	2508	p3	idle		
D	2508	p4	idle		
D	2508	p5	idle		
D	2508	p6	idle		
D	2508	p7	idle		
D	2508	p8	idle		
D	2508	p9	idle		
D	2548	p0	idle		
D	2548	p1	idle		
D	2548	p2	idle		
D	2548	p3	idle		
D	2548	p4	idle		
D	2548	p5	idle		
D	2548	p6	idle		
D	2548	p7	idle		
D	2548	p8	idle		
D	2548	p9	idle		
D	2589	p0	idle		
D	2589	p1	idle		
D	2589	p2	idle		
D	2589	p3	idle		
D	2589	p4	idle		
D	2589	p5	idle		
D	2589	p6	idle		
D	2589	p7	idle		
D	2589	p8	idle		
D	2589	p9	idle		
D	2632	p0	idle		
D	2632	p1	idle		
D	2632	p2	idle		
D	2632	p3	idle		
D	2632	p4	idle		
D	2632	p5	idle		
D	2632	p6	idle		
D	2632	p7	idle		
D	2632	p8	idle		
D	2632	p9	idle		
D	2676	p0	idle		
D	2676	p1	idle		
D	2676	p2	idle		
D	2676	p3	idle		
D	2676	p4	idle		
D	2676	p5	idle		
D	2676	p6	idle		
D	2676	p7	idle		
D	2676	p8	idle		
D	2676	p9	idle		
D	2722	p0	idle		
D	2722	p1	idle		
D	2722	p2	idle		
D	2722	p3	idle		
D	2722	p4	idle		
D	2722	p5	idle		
D	2722	p6	idle		
D	2722	p7	idle		
D	2722	p8	idle		
D	2722	p9	idle		
D	2769	p0	idle		
D	2769	p1	idle		
D	2769	p2	idle		
D	2769	p3	idle		
D	2769	p4	idle		
D	2769	p5	idle		
D	2769	p6	idle		
D	2769	p7	idle		
D	2769	p8	idle		
D	2769	p9	idle		
D	2817	p0	idle		
D	2817	p1	idle		
D	2817	p2	idle		
D	2817	p3	idle		
D	2817	p4	idle		
D	2817	p5	idle		
D	2817	p6	idle		
D	2817	p7	idle		
D	2817	p8	idle		
D	2817	p9	idle		
D	2865	p0	idle		
D	2865	p1	idle		
D	2865	p2	idle		
D	2865	p3	idle		
D	2865	p4	idle		
D	2865	p5	idle		
D	2865	p6	idle		
D	2865	p7	idle		
D	2865	p8	idle		
D	2865	p9	idle		
D	2913	p0	idle		
D	2913	p1	idle		
D	2913	p2	idle		
D	2913	p3	idle		
D	2913	p4	idle		
D	2913	p5	idle		
D	2913	p6	idle		
D	2913	p7	idle		
D	2913	p8	idle		
D	2913	p9	idle		
D	2961	p0	idle		
D	2961	p1	idle		
D	2961	p2	idle		
D	2961	p3	idle		
D	2961	p4	idle		
D	2961	p5	idle		
D	2961	p6	idle		
D	2961	p7	idle		
D	2961	p8	idle		
D	2961	p9	idle		
D	3009	p0	idle		
D	3009	p1	idle		
D	3009	p2	idle		
D	3009	p3	idle		
D	3009	p4	idle		
D	3009	p5	idle		
D	3009	p6	idle		
D	3009	p7	idle		
D	3009	p8	idle		
D	3009	p9	idle		
D	3057	p0	idle		
D	3057	p1	idle		
D	3057	p2	idle		
D	3057	p3	idle		
D	3057	p4	idle		
D	3057	p5	idle		
D	3057	p6	idle		
D	3057	p7	idle		
D	3057	p8	idle		
D	3057	p9	idle		
D	3105	p0	idle		
D	3105	p1	idle		
D	3105	p2	idle		
D	3105	p3	idle		
D	3105	p4	idle		
D	3105	p5	idle		
D	3105	p6	idle		
D	3105	p7	idle		
D	3105	p8	idle		
D	3105	p9	idle		
D	3153	p0	idle		
D	3153	p1	idle		
D	3153	p2	idle		
D	3153	p3	idle		
D	3153	p4	idle		
D	3153	p5	idle		
D	3153	p6	idle		
D	3153	p7	idle		
D	3153	p8	idle		
D	3153	p9	idle		
D	3201	p0	idle		
D	3201	p1	idle		
D	3201	p2	idle		
D	3201	p3	idle		
D	3201	p4	idle		
D	3201	p5	idle		
D	3201	p6	idle		
D	3201	p7	idle		
D	3201	p8	idle		
D	3201	p9	idle		
D	3249	p0	idle		
D	3249	p1	idle		
D	3249	p2	idle		
D	3249	p3	idle		
D	3249	p4	idle		
D	3249	p5	idle		
D	3249	p6	idle		
D	3249	p7	idle		
D	3249	p8	idle		
D	3249	p9	idle		
D	3297	p0	idle		
D	3297	p1	idle		
D	3297	p2	idle		
D	3297	p3	idle		
D	3297	p4	idle		
D	3297	p5	idle		
D	3297	p6	idle		
D	3297	p7	idle		
D	3297	p8	idle		
D	3297	p9	idle		
D	3345	p0	idle		
D	3345	p1	idle		
D	3345	p2	idle		
D	3345	p3	idle		
D	3345	p4	idle		
D	3345	p5	idle		
D	3345	p6	idle		
D	3345	p7	idle		
D	3345	p8	idle		
D	3345	p9	idle		
D	3393	p0	idle		
D	3393	p1	idle		
D	3393	p2	idle		
D	3393	p3	idle		
D	3393	p4	idle		
D	3393	p5	idle		
D	3393	p6	idle		
D	3393	p7	idle		
D	3393	p8	idle		
D	3393	p9	idle		
D	3441	p0	idle		
D	3441	p1	idle		
D	3441	p2	idle		
D	3441	p3	idle		
D	3441	p4	idle		
D	3441	p5	idle		
D	3441	p6	idle		
D	3441	p7	idle		
D	3441	p8	idle		
D	3441	p9	idle		
D	3487	p0	idle		
D	3487	p1	idle		
D	3487	p2	idle		
D	3487	p3	idle		
D	3487	p4	idle		
D	3487	p5	idle		
D	3487	p6	idle		
D	3487	p7	idle		
D	3487	p8	idle		
D	3487	p9	idle		
D	3531	p0	idle		
D	3531	p1	idle		
D	3531	p2	idle		
D	3531	p3	idle		
D	3531	p4	idle		
D	3531	p5	idle		
D	3531	p6	idle		
D	3531	p7	idle		
D	3531	p8	idle		
D	3531	p9	idle		
D	3574	p0	idle		
D	3574	p1	idle		
D	3574	p2	idle		
D	3574	p3	idle		
D	3574	p4	idle		
D	3574	p5	idle		
D	3574	p6	idle		
D	3574	p7	idle		
D	3574	p8	idle		
D	3574	p9	idle		
D	3616	p0	idle		
D	3616	p1	idle		
D	3616	p2	idle		
D	3616	p3	idle		
D	3616	p4	idle		
D	3616	p5	idle		
D	3616	p6	idle		
D	3616	p7	idle		
D	3616	p8	idle		
D	3616	p9	idle		
D	3657	p0	idle		
D	3657	p1	idle		
D	3657	p2	idle		
D	3657	p3	idle		
D	3657	p4	idle		
D	3657	p5	idle		
D	3657	p6	idle		
D	3657	p7	idle		
D	3657	p8	idle		
D	3657	p9	idle		
D	3697	p0	idle		
D	3697	p1	idle		
D	3697	p2	idle		
D	3697	p3	idle		
D	3697	p4	idle		
D	3697	p5	idle		
D	3697	p6	idle		
D	3697	p7	idle		
D	3697	p8	idle		
D	3697	p9	idle		
D	3736	p0	idle		
D	3736	p1	idle		
D	3736	p2	idle		
D	3736	p3	idle		
D	3736	p4	idle		
D	3736	p5	idle		
D	3736	p6	idle		
D	3736	p7	idle		
D	3736	p8	idle		
D	3736	p9	idle		
D	3775	p0	idle		
D	3775	p1	idle		
D	3775	p2	idle		
D	3775	p3	idle		
D	3775	p4	idle		
D	3775	p5	idle		
D	3775	p6	idle		
D	3775	p7	idle		
D	3775	p8	idle		
D	3775	p9	idle		
D	3814	p0	idle		
D	3814	p1	idle		
D	3814	p2	idle		
D	3814	p3	idle		
D	3814	p4	idle		
D	3814	p5	idle		
D	3814	p6	idle		
D	3814	p7	idle		
D	3814	p8	idle		
D	3814	p9	idle		
D	3853	p0	idle		
D	3853	p1	idle		
D	3853	p2	idle		
D	3853	p3	idle		
D	3853	p4	idle		
D	3853	p5	idle		
D	3853	p6	idle		
D	3853	p7	idle		
D	3853	p8	idle		
D	3853	p9	idle		
D	3892	p0	idle		
D	3892	p1	idle		
D	3892	p2	idle		
D	3892	p3	idle		
D	3892	p4	idle		
D	3892	p5	idle		
D	3892	p6	idle		
D	3892	p7	idle		
D	3892	p8	idle		
D	3892	p9	idle		
D	3932	p0	idle		
D	3932	p1	idle		
D	3932	p2	idle		
D	3932	p3	idle		
D	3932	p4	idle		
D	3932	p5	idle		
D	3932	p6	idle		
D	3932	p7	idle		
D	3932	p8	idle		
D	3932	p9	idle		
D	3972	p0	idle		
D	3972	p1	idle		
D	3972	p2	idle		
D	3972	p3	idle		
D	3972	p4	idle		
D	3972	p5	idle		
D	3972	p6	idle		
D	3972	p7	idle		
D	3972	p8	idle		
D	3972	p9	idle		
D	4013	p0	idle		
D	4013	p1	idle		
D	4013	p2	idle		
D	4013	p3	idle		
D	4013	p4	idle		
D	4013	p5	idle		
D	4013	p6	idle		
D	4013	p7	idle		
D	4013	p8	idle		
D	4013	p9	idle		
D	4055	p0	idle		
D	4055	p1	idle		
D	4055	p2	idle		
D	4055	p3	idle		
D	4055	p4	idle		
D	4055	p5	idle		
D	4055	p6	idle		
D	4055	p7	idle		
D	4055	p8	idle		
D	4055	p9	idle		
D	4099	p0	idle		
D	4099	p1	idle		
D	4099	p2	idle		
D	4099	p3	idle		
D	4099	p4	idle		
D	4099	p5	idle		
D	4099	p6	idle		
D	4099	p7	idle		
D	4099	p8	idle		
D	4099	p9	idle		
D	4144	p0	idle		
D	4144	p1	idle		
D	4144	p2	idle		
D	4144	p3	idle		
D	4144	p4	idle		
